FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,DISCOVERY_TIME,FIRE_SIZE
2005,Lightning,63.65,-159.1167,AK,2453577.5,1349,117211
2007,Lightning,69.0472,-150.8367,AK,2454297.5,1423,256734.1
2009,Lightning,63.2,-153.27,AK,2454974.5,1807,164318
2009,Lightning,64.2178,-153.8894,AK,2454995.5,1140,126581.6
2009,Lightning,64.4803,-151.3194,AK,2454999.5,1801,141125.7
2009,Lightning,66.2236,-143.2572,AK,2455002.5,2030,349449.9
2009,Lightning,64.3689,-152.6886,AK,2455023.5,900,164541.9
2009,Lightning,64.3481,-147.9608,AK,2455024.5,1531,125381.6
2009,Lightning,65.9464,-146.8197,AK,2455030.5,1707,169638.7
2009,Lightning,64.12,-148.75,AK,2455045.5,1453,101150
2006,Lightning,42.9569,-113.2411,ID,2453962.5,235,220042.1
2005,Lightning,42.6289,-115.5064,ID,2453566.5,1830,192846.1
2007,Lightning,41.9492,-115.6217,NV,2454297.5,1912,147335
2003,Lightning,47.5994,-107.5123,MT,2452839.5,1800,125900
2006,Lightning,47.6697,-106.7806,MT,2453933.5,2200,117292
2006,Lightning,41.3603,-116.9144,NV,2453941.5,953,238462.6
2006,Lightning,41.5578,-115.5242,NV,2453962.5,1519,141707.4
2006,Lightning,41.4672,-116.3319,NV,2453981.5,1825,108563.6
2006,Lightning,40.8258,-116.7203,NV,2453981.5,2046,150270.7
2007,Lightning,41.7822,-114.1667,NV,2454299.5,1228,154973
2005,Lightning,37.1208,-114.7169,NV,2453543.5,530,149131
2005,Lightning,37.2,-114.3831,NV,2453543.5,1610,238058
2005,Lightning,37.1033,-114.8417,NV,2453549.5,1000,168293
2007,Lightning,38.5756,-112.9731,UT,2454287.5,1545,357185
2002,Lightning,63.5911,-152.6757,AK,2452472.5,1748,117920
2006,Missing/Undefined,35.6678,-101.3708,TX,2453806.5,1120,479549
2000,Equipment Use,46.57194444,-119.77277778,WA,2451722.5,1339,163884
2002,Lightning,30.6688889,-82.2936111,GA,2452397.5,1200,124110
2003,Lightning,66.85,-147.2681,AK,2452814.5,1845,192489
2007,Miscellaneous,30.80277778,-82.2725,GA,2454206.5,2100,191474
2004,Lightning,64.33333999,-145.16669998,AK,2453179.5,,175815
2006,Lightning,45.9228,-107.8561,MT,2453928.5,,121687
2008,Lightning,46.2377,-108.3417,MT,2454700.5,,102379.53
2008,Miscellaneous,31.74216,-101.0438,TX,2454521.5,,220000
